DiagnosisID;ICDCode;DiagnosisName;TreatmentMethod
1;К02.1;кариес дентина;препарирование, пломбирование
2;К02.2;кариес цемента;иссечение, пломбирование
3;К02.3;приостановившийся кариес зубов;наблюдение, реминерализация
4;K01.0;ретенированные зубы;хирургическое удаление
5;K01.1;импактные зубы;удаление импактного
6;K00.0;адентия;протезирование, имплантация
7;K00.01;полная адентия;съёмное протезирование
8;K04.0;пульпит;депульпирование, пломбирование
9;K05.0;острый гингивит;антисептическая обработка
10;K06.0;рецессия десны;закрытие рецессии
11;K07.0;основные аномалии размеров челюстей;ортогнатическая коррекция
12;K05.4;пародонтоз;шинирование, физиотерапия
13;K05.2;острый пародонтит;кюретаж, антибиотики
14;K08.88;другие изменения;симптоматическое лечение
15;K09.00;киста при прорезывании зубов;иссечение, наблюдение
16;K10.0;нарушения развития челюстей;ортодонтическое лечение
17;K12.00;рецидивирующие (малые) афты;противовоспалительные аппликации
18;K13.0;болезни губ;кортикостероидные мази
19;K12.10;стоматит артефициальный;замена материалов
20;K11.3;абсцесс слюнной железы;дренирование, антибиотики
